"","Firm_id","Firm","Year","Firm_value","Count","Green_inn","Location","Age","Sales","Sales_growth","Total_assets","Total_debt","Leverage","Tshare_equity","ROA","ROE","Size"
"165","CNW-DE","CNW",2013,52.698454,1772,7.4804,"DE",20,3622,34.496845,3442.13145,0,0,1813.95005,-62.335467,-92.202821,8.14384616604807
"166","CNW-DE","CNW",2014,70.591414,1901,7.5507,"DE",21,4476,23.578135,6072.71157,0,0,4286.81295,-52.402336,-81.727482,8.71156050094458
"167","CNW-DE","CNW",2015,79.098358,1919,7.5601,"DE",22,5086,13.62824,8105.09796,0,0,6410.99939,-40.429377,-53.581048,9.00024852046318
"168","CNW-DE","CNW",2016,65.218503,1888,7.5438,"DE",23,5598,10.06685,4232.75347,0,0,2760.53844,-59.167514,-79.594067,8.35060799880601
"169","CNW-DE","CNW",2017,85.405907,1985,7.5939,"DE",24,5964.2193,6.541965,18949.92766,0,0,16184.3575,-60.857987,-74.471314,9.84955539308904
"170","CNW-DE","CNW",2018,42.990464,2167,7.6816,"DE",25,5654,-5.201339,29467,9484,32.185156,12668,-25.904163,-43.469585,10.2910262721108
"171","CNW-DE","CNW",2019,43.857176,2257,7.7222,"DE",26,6856,21.259285,26242,9570,36.468257,11509,-45.339173,-104.471192,10.1751164596657
"172","COPN-CH","COPN",2007,74.419836,4,1.6094,"CH",10,21900.000983,50.876282,47227.995873,5197.999546,11.006183,35146.996929,0.22789,0.330371,10.7627421286424
"173","COPN-CH","COPN",2008,74.848091,5,1.7918,"CH",11,34172.9994,50.499039,57764.995255,4293.999647,7.433567,43235.996449,18.202606,24.386057,10.9641382527739
"174","COPN-CH","COPN",2009,83.671499,2,1.0986,"CH",12,26684.998219,-25.596704,71463.994898,2975.999788,4.164334,59794.995731,6.386102,8.009372,11.1769490339891
"175","COPN-CH","COPN",2010,63.234413,3,1.3863,"CH",13,32050.00075,9.734288,91825.001623,3497.000062,3.808331,58065.001026,4.505542,6.168228,11.4276398883628
"176","COPN-CH","COPN",2011,80.973372,6,1.9459,"CH",14,33508.998359,-6.526239,78037.998541,2175.999959,2.788385,63189.998819,8.942325,12.550025,11.2649511478295
"177","COPN-CH","COPN",2012,81.919721,7,2.0794,"CH",15,59536.997959,73.651764,151844.994557,12836.99954,8.454016,124390.995541,16.753655,20.532139,11.9306155068552
"178","COPN-CH","COPN",2013,90.591101,7,2.0794,"CH",16,56368.002613,-3.302148,243003.999455,11747.999974,4.834488,220139.999507,35.171909,40.294156,12.4008331808498
"179","COPN-CH","COPN",2014,67.491944,19,2.9957,"CH",17,79592.998575,39.304188,225620.990925,10929.99956,4.844407,152275.993875,31.289208,39.318076,12.326611839158
"180","COPN-CH","COPN",2015,92.166104,11,2.4849,"CH",18,60607.000244,-33.040165,437942.966519,8132.999378,1.857091,403634.969142,70.906109,85.212028,12.9898439674531
"181","COPN-CH","COPN",2016,93.702449,19,2.9957,"CH",19,67663.99845,13.94744,443474.008958,5309.000107,1.197139,415546.008394,4.429629,4.766444,13.0023944746357
"182","COPN-CH","COPN",2017,94.405933,15,2.7726,"CH",20,67242.000913,1.236077,497973.999379,4475.999994,0.898842,470116.999414,-6.808695,-7.236374,13.1183031445615
"183","COPN-CH","COPN",2018,70.923754,14,2.7081,"CH",21,65616.998542,1.485476,625685.97225,158149.992986,25.276257,443759.980319,-3.228796,-3.959326,13.3466038824447
"184","COPN-CH","COPN",2019,67.286383,13,2.6391,"CH",22,62494.999814,-8.246183,585160.018829,164837.005304,28.16956,393733.01267,-4.04991,-5.852581,13.2796406252695
"185","COX-FR","COX",2006,80.86829,68,4.2341,"FR",10,9630,47.518383,91398,51,0.0558,73912,-34.741507,-43.730245,11.4229788753648
"186","COX-FR","COX",2007,89.318082,77,4.3567,"FR",11,20620,114.122536,189451,29,0.015307,169214,-22.890592,-26.442256,12.1518856948704
"187","COX-FR","COX",2008,82.567405,62,4.1431,"FR",12,3362,-83.695442,123619,19,0.01537,102069,-47.201584,-54.472267,11.7249595338746
"188","COX-FR","COX",2009,90.759409,65,4.1897,"FR",13,1119,-66.71624,157425,13,0.008258,142878,-42.952705,-49.282498,11.9667044333569
"189","COX-FR","COX",2010,89.011719,58,4.0775,"FR",14,7423,563.360168,112893,113,0.100095,100488,-32.50098,-36.100359,11.6341957464441
